timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523149443731400,-3,-3,-5,-28,-8,-6,5,-4
1523149443731400,0,5,-38,-42,-12,-1,4,1
1523149443745937,1,1,11,-50,3,0,-12,-4
1523149443745937,-3,-23,11,-14,2,0,-5,-3
1523149443747942,0,6,-13,18,-1,-2,0,3
1523149443747942,1,-13,26,51,11,4,2,4
1523149443768497,-14,-1,-37,-57,-9,-7,10,-4
1523149443768497,14,11,31,-44,-12,-4,-38,-6
1523149443770506,-2,0,-23,15,-4,1,16,1
1523149443770506,1,2,31,-11,14,3,3,-16
1523149443782032,0,5,9,116,4,3,3,8
1523149443782032,-6,-2,3,-37,8,3,-3,6
1523149443791058,1,-8,25,47,-3,-3,-5,2
1523149443791058,-4,-5,-18,-4,-4,-3,1,-5
1523149443806097,-1,-4,6,-12,1,0,-11,-7
1523149443806097,-1,2,-16,17,-4,0,13,3
1523149443807602,-1,6,9,1,4,0,-6,-5
1523149443807602,-2,1,-16,23,2,0,-4,3
1523149443828657,0,-2,-15,-66,-11,-7,5,2
1523149443828657,-3,1,8,56,2,2,8,3
1523149443830161,-3,-5,6,-78,-13,-3,-7,2
1523149443830161,-2,-2,-20,-24,-4,-4,10,3
1523149443842193,0,-4,6,-1,-2,-3,-14,-7
1523149443842193,-1,6,3,1,5,-1,3,-1
1523149443851218,0,-1,3,20,2,4,2,1
1523149443851218,-5,-6,1,-20,-5,-5,-9,2
1523149443866267,4,1,-26,18,-5,-1,0,-3
1523149443866267,-4,-2,11,-6,-1,-4,2,3
1523149443867763,-1,-8,-23,10,2,1,-9,-9
1523149443867763,4,7,12,12,1,3,8,3
1523149443888823,-3,-3,-16,8,-6,-3,1,-1
1523149443888823,1,6,0,23,7,1,-10,-1
1523149443890322,2,2,10,-5,3,-1,5,8
1523149443890322,-4,-4,-13,33,-1,-3,-18,-8
1523149443902355,0,-1,25,1,2,2,34,-1
1523149443902355,-2,-3,-7,15,-8,-4,3,-3
1523149443911378,3,0,-3,-16,5,1,-6,4
1523149443911378,1,9,10,8,1,0,2,1
1523149443925925,-1,-7,-12,-68,-7,-3,-11,11
1523149443925925,-3,-9,-6,4,0,-2,2,-6
1523149443927925,-1,2,-11,8,-2,-1,1,-1
1523149443927925,-1,-1,-2,-4,2,-2,-4,-3
1523149443948566,-1,13,-2,10,-1,1,-4,-3
1523149443948566,-1,0,22,9,0,0,1,1
1523149443949984,0,-6,-9,-5,-1,1,-1,0
1523149443949984,-4,-10,19,-20,-9,-4,0,-4
1523149443963021,2,1,27,58,12,1,-12,0
1523149443963021,-3,0,-44,-98,-15,-3,1,-1
1523149443971541,-1,3,15,24,2,0,-6,-10
1523149443971541,1,1,-4,15,2,3,14,0
1523149443986078,-1,-1,8,-5,5,1,-9,-1
1523149443986078,1,-3,-18,0,-8,-1,-3,-2
1523149443987584,-1,-1,-15,-8,0,-1,-6,3
1523149443987584,2,6,27,-13,-2,1,-1,4
1523149444009146,-7,-14,-35,-23,-3,-3,0,-6
1523149444009146,0,7,19,23,4,2,7,-1
1523149444014654,-2,-6,-14,-13,-6,-3,5,-3
1523149444014654,5,7,-11,9,-2,-2,-6,-1
1523149444022679,-2,-16,18,-5,-1,-2,-8,3
1523149444022679,0,0,8,14,5,1,12,0
1523149444031202,-1,5,-5,-2,-2,1,1,3
1523149444031202,-2,-9,3,-2,2,2,0,2
1523149444046238,1,5,-9,-1,-4,-2,-7,-2
1523149444046238,-3,-8,18,-3,-4,-4,-3,1
1523149444047743,1,9,33,10,4,0,-12,9
1523149444047743,-7,-17,-32,-15,-6,-4,-2,-22
1523149444068362,5,12,13,-4,-4,-1,10,-4
1523149444068362,-1,-2,-19,9,-2,0,-9,3
1523149444070367,16,6,0,6,0,1,6,13
1523149444070367,-19,-1,2,3,2,0,-6,-11
1523149444091488,15,-4,1,2,-3,-5,-10,42
1523149444091488,-45,-4,-4,5,3,-1,-8,-89
1523149444092927,7,-2,-27,-10,-4,-3,1,53
1523149444092927,4,0,-12,-14,-7,-4,-1,23
1523149444106208,14,9,9,6,3,5,1,15
1523149444106208,14,-8,-29,-2,-4,-3,-1,1
1523149444107468,-51,-18,-1,-9,-2,-2,-3,-51
1523149444107468,27,20,5,-4,0,-1,4,7
1523149444128540,-34,-4,9,9,-1,-3,2,3
1523149444128540,21,0,15,2,2,1,0,21
1523149444130027,17,0,-6,-3,-4,-2,7,2
1523149444130027,-14,-7,-8,-1,-4,-3,-12,-11
1523149444151084,2,-1,-1,-1,0,-1,8,-8
1523149444151084,0,5,7,-4,2,6,-7,-2
1523149444152586,7,-9,-12,6,5,0,17,6
1523149444152586,-1,0,1,-2,-6,0,-12,19
1523149444166407,-1,1,3,41,0,0,5,-23
1523149444166407,-4,-3,-9,-10,-4,-4,0,19
1523149444167625,0,-1,13,-45,-4,-3,-4,-2
1523149444167625,0,-1,9,60,2,2,2,-12
1523149444188683,-6,-5,-17,20,2,1,1,-15
1523149444188683,3,0,10,-57,-7,-7,-1,12
1523149444190186,1,4,-7,17,5,1,-4,-5
1523149444190186,0,1,36,-45,15,8,8,-9
1523149444211245,0,-6,5,94,-15,-10,-13,-4
1523149444211245,2,3,5,-32,5,1,27,14
1523149444212745,-4,-7,-54,-83,-24,-7,-1,-10
1523149444212745,-2,2,5,-33,3,0,2,4
1523149444226331,2,6,17,7,12,5,0,-2
1523149444226331,1,0,30,37,2,2,-9,-3
1523149444227786,-2,1,16,40,2,-5,-15,-7
1523149444227786,2,3,-28,-14,-9,2,24,2
