timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523182982510648,-3,24,-1,1,-15,0,2,-8
1523182982510648,11,-13,-12,28,9,2,10,16
1523182982527697,10,18,-9,5,9,15,-14,3
1523182982527697,-12,-8,-19,-1,-9,-14,-2,-11
1523182982528695,4,1,18,-6,-18,9,-2,-16
1523182982528695,0,1,5,25,21,0,-9,31
1523182982549751,-2,29,12,21,-18,-27,-20,-26
1523182982549751,-3,-25,-38,-23,14,8,12,29
1523182982555767,23,2,19,2,-12,1,-5,-20
1523182982555767,32,-10,22,6,6,3,18,12
1523182982563792,-3,-10,-21,-5,-2,-10,-25,-22
1523182982563792,-24,-4,6,-9,-16,-11,9,45
1523182982570806,13,9,-28,12,24,16,7,8
1523182982570806,0,1,-11,-21,-12,-1,-6,-34
1523182982586850,-9,-21,-24,-15,-9,-8,-7,1
1523182982586850,28,-24,-1,-9,-14,-3,1,-11
1523182982588854,-17,24,3,16,8,3,10,11
1523182982588854,15,-11,13,12,12,-4,-4,15
1523182982609911,4,-17,-17,-18,-20,1,4,-6
1523182982609911,2,12,-1,35,0,-3,-7,-2
1523182982610913,8,-54,-15,-66,-4,3,-4,22
1523182982610913,5,36,0,-1,-5,-1,-2,-8
1523182982623948,1,-23,5,-7,-2,-14,-2,3
1523182982623948,5,-23,9,5,-4,1,-7,-5
1523182982630974,-1,29,-6,19,24,18,12,-10
1523182982630974,-39,-8,-14,-38,-17,-5,-7,-15
1523182982647017,37,-8,8,31,2,-2,-16,41
1523182982647017,-11,16,-3,-2,-11,-3,1,-13
1523182982649017,-15,8,2,16,6,-9,-1,-2
1523182982649017,28,9,19,17,9,5,1,2
1523182982670074,-25,-13,-6,-49,-13,-3,3,-12
1523182982670074,-7,-2,-15,14,4,3,0,-25
1523182982671074,20,17,13,5,-1,-5,-4,1
1523182982671074,4,-19,-32,0,-1,-1,1,-3
1523182982684112,34,29,18,27,20,12,-4,3
1523182982684112,-24,-61,-1,-7,7,-3,8,13
1523182982691127,-18,-7,-54,-92,-42,-18,-9,2
1523182982691127,-6,4,29,34,-4,4,16,43
1523182982707170,25,19,9,44,3,-7,-1,55
1523182982707170,3,5,-27,14,13,-5,-9,-34
1523182982709178,-5,0,-2,-47,6,22,1,-21
1523182982709178,8,-1,-15,21,-8,-9,-6,9
1523182982730230,-23,21,1,10,-1,-5,-2,-9
1523182982730230,17,31,0,44,-1,-2,-3,0
1523182982731237,-17,-43,14,-36,-22,-22,-10,-24
1523182982731237,12,27,1,-28,31,21,9,-11
1523182982744269,-20,-28,5,2,-2,1,-1,-28
1523182982744269,-3,9,9,-1,-13,-1,-6,7
1523182982751288,5,7,16,54,21,1,5,10
1523182982751288,-31,-9,-37,-83,-44,-23,-6,-11
1523182982767330,3,18,-2,25,16,10,-5,-15
1523182982767330,4,8,16,-31,-6,8,12,5
1523182982769336,19,5,2,50,13,7,5,88
1523182982769336,19,-38,-3,-13,-16,-7,7,-58
1523182982789388,-12,3,-5,4,4,-3,-11,6
1523182982789388,-32,12,-5,-5,-9,-1,-3,-21
1523182982791394,-13,27,-17,-25,6,2,-5,-28
1523182982791394,6,19,-6,68,21,-2,3,37
1523182982804662,4,-19,12,-91,-40,-2,11,5
1523182982804662,18,9,-23,-14,6,-5,-2,-27
1523182982811449,-25,-19,9,29,-5,-2,-1,3
1523182982811449,-19,-12,-3,0,4,-6,-18,-14
1523182982827489,-5,-18,-21,14,12,-2,6,-13
1523182982827489,-12,10,0,8,-2,11,5,22
1523182982828491,44,12,7,-46,-9,7,3,-17
1523182982828491,9,8,24,67,21,1,-7,-19
1523182982849548,-16,-48,-35,2,-14,-11,-13,32
1523182982849548,-14,37,21,4,-15,-4,4,-14
1523182982851553,-23,-70,-22,31,6,-9,12,-4
1523182982851553,40,9,12,2,-4,0,3,2
1523182982863589,8,7,16,18,12,-4,-6,2
1523182982863589,7,-8,0,-1,-7,-11,-8,5
1523182982872611,1,28,14,-21,8,20,7,-16
1523182982872611,-8,2,-14,-15,-8,-2,3,22
1523182982887650,-29,-14,-15,-14,7,-2,5,-24
1523182982887650,11,-48,-20,-18,-4,-4,-4,-9
1523182982888652,-25,1,14,5,-19,-10,-3,-3
1523182982888652,35,13,35,20,16,-2,-11,-5
1523182982909943,0,16,6,-26,-4,10,8,-1
1523182982909943,-1,-17,-33,-5,18,7,-7,4
1523182982911712,-12,-7,-11,22,-18,-8,-6,-3
1523182982911712,-16,-2,-8,-28,-7,3,-4,17
1523182982923746,0,10,12,33,12,-14,-2,-11
1523182982923746,9,0,20,-2,8,14,2,-29
1523182982932772,22,6,-2,-1,-2,-2,4,-1
1523182982932772,-35,42,26,12,-16,1,-3,-1
1523182982946807,4,-21,-18,10,21,-2,1,-22
1523182982946807,-77,23,7,-10,-6,-8,-18,-49
1523182982948812,59,-5,1,-15,6,-1,14,-22
1523182982948812,-1,-19,3,10,-5,-1,-5,74
1523182982969868,-2,5,17,0,8,3,-4,-19
1523182982969868,3,-15,-16,-30,5,-2,-2,16
1523182982970872,-16,38,24,47,-17,-8,-1,-10
1523182982970872,-8,-8,-26,-78,-6,11,4,-30
1523182982982902,19,-23,4,-2,-1,0,10,37
1523182982982902,-12,4,6,11,-2,-5,-6,25
1523182982992928,-5,9,10,42,-4,-19,-12,7
1523182982992928,7,-18,-31,-43,22,15,3,-14
1523182983007608,-4,4,9,21,-14,6,2,6
1523182983007608,26,56,4,-17,5,1,2,9
1523182983009392,-23,-74,-5,26,-2,-4,-7,15
1523182983009392,1,-19,-1,-9,-13,-11,-15,-14
