timestamp,x,y,z
1523144589045025,0.0776367,-0.571777,0.845703
1523144589066083,0.0776367,-0.550781,0.834473
1523144589082126,0.0888672,-0.539063,0.822266
1523144589104190,0.0961914,-0.540527,0.819824
1523144589125243,0.0761719,-0.550781,0.818359
1523144589142285,0.0693359,-0.553223,0.824707
1523144589163579,0.0673828,-0.555664,0.824219
1523144589184631,0.078125,-0.571289,0.828613
1523144589200440,0.0722656,-0.55957,0.827637
1523144589232526,0.0576172,-0.545898,0.830566
1523144589246563,0.0600586,-0.541504,0.833008
1523144589260600,0.0708008,-0.560059,0.826172
1523144589283689,0.0810547,-0.549316,0.819824
1523144589306723,0.0795898,-0.529297,0.807129
1523144589320767,0.0849609,-0.523926,0.813965
1523144589343820,0.0776367,-0.53418,0.813965
1523144589366230,0.0771484,-0.529297,0.81543
1523144589380924,0.0703125,-0.509766,0.813477
1523144589403982,0.0654297,-0.526855,0.823242
1523144589426044,0.0678711,-0.530273,0.828613
1523144589441082,0.0629883,-0.53125,0.836426
1523144589464143,0.0668945,-0.538086,0.837402
1523144589486199,0.059082,-0.546875,0.831055
1523144589500235,0.0620117,-0.54541,0.833496
1523144589524300,0.0615234,-0.543457,0.835938
1523144589546359,0.050293,-0.549805,0.834961
1523144589560501,0.0576172,-0.545898,0.82959
1523144589584462,0.0610352,-0.542969,0.830078
1523144589606522,0.0532227,-0.536621,0.837402
1523144589620558,0.0546875,-0.536621,0.833496
1523144589643643,0.0625,-0.538574,0.832031
1523144589666679,0.0551758,-0.545898,0.830078
1523144589680717,0.0600586,-0.544434,0.830566
1523144589703778,0.0585938,-0.546875,0.826172
1523144589726933,0.0605469,-0.54541,0.834961
1523144589748292,0.0625,-0.541016,0.830566
1523144589763939,0.0629883,-0.538574,0.828125
1523144589785997,0.0585938,-0.540039,0.822754
1523144589808188,0.0620117,-0.54541,0.820801
1523144589824099,0.0639648,-0.541992,0.826172
1523144589846158,0.0795898,-0.548828,0.831543
1523144589867213,0.0766602,-0.551758,0.830566
1523144589884260,0.0649414,-0.561035,0.851074
1523144589906330,0.0673828,-0.547363,0.849609
1523144589927375,0.0644531,-0.548828,0.860352
1523144589943416,0.078125,-0.526367,0.844727
1523144589966478,0.074707,-0.516113,0.831543
1523144589987541,0.0629883,-0.520996,0.82666
1523144590004579,0.0546875,-0.533203,0.819336
1523144590026638,0.0517578,-0.52832,0.824219
1523144590047693,0.0546875,-0.535156,0.837402
1523144590063736,0.0615234,-0.538574,0.848633
1523144590085796,0.0678711,-0.54541,0.855957
