timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523135241819889,-1,0,1,0,0,0,1,1
1523135241819889,-3,2,1,-1,-3,-1,-2,1
1523135241825952,-4,-1,-2,-3,1,0,-2,-3
1523135241825952,0,-1,-2,2,-2,-2,-1,-2
1523135241825952,-3,-2,0,-2,-2,-2,-2,-1
1523135241825952,0,-2,-2,-4,0,-1,-1,0
1523135241827908,-2,-2,0,-1,-2,0,-1,-3
1523135241827908,-1,1,0,3,0,-2,-1,2
1523135241839003,-1,0,0,-5,-2,-2,-3,-3
1523135241839003,-2,-1,-3,-2,-1,-3,-1,-4
1523135241849969,3,-3,1,0,-4,-2,0,-2
1523135241849969,-4,0,1,-5,0,-2,0,-1
1523135241853980,1,0,-5,-1,-1,1,0,0
1523135241853980,-3,1,2,4,1,1,-2,-2
1523135241870022,0,0,-4,-6,-1,-2,-1,1
1523135241870022,-2,-1,0,5,-2,0,-2,1
1523135241877041,-3,-4,-2,0,0,-1,-2,1
1523135241877041,-2,-1,1,0,-1,0,1,1
1523135241885063,-1,1,0,1,-1,-4,-2,0
1523135241885063,-1,-1,-5,-4,-1,-3,1,-2
1523135241899207,-1,-2,-3,-4,0,0,0,-2
1523135241899207,-2,-2,-2,1,-4,2,-2,-1
1523135241908370,1,2,0,3,1,1,-2,-2
1523135241908370,-3,-1,0,-1,-2,-3,-2,3
1523135241946227,-3,-1,-1,0,2,0,1,-1
1523135241946227,0,2,-2,0,-1,3,-2,-2
1523135241947227,0,-1,0,-1,0,-3,0,-1
1523135241947227,0,-2,-1,0,-2,-5,-1,0
1523135241947227,2,2,-1,-1,-4,-1,-2,-3
1523135241947227,-2,-2,2,-1,0,-1,0,0
1523135241951414,0,1,-1,2,1,0,-1,1
1523135241951414,1,-1,1,-1,-4,-3,-1,-2
1523135241958546,-1,3,-3,-3,2,-1,0,-3
1523135241958546,-3,0,1,2,0,-2,-1,-2
1523135241967280,-1,1,-1,-4,-3,0,0,-8
1523135241967280,-2,-2,2,-2,2,-1,-1,-2
1523135241973545,0,0,-3,-3,0,-2,-2,1
1523135241973545,-1,0,0,-2,-1,-3,0,0
1523135241998363,-1,0,-3,-3,-1,-1,1,0
1523135241998363,-2,2,-6,1,-3,-1,0,-3
1523135241998363,1,-2,4,1,-6,0,-3,2
1523135241998363,-5,2,-1,-5,-1,2,1,-2
1523135242011438,-1,-2,1,1,-3,-1,-2,0
1523135242011438,-3,1,-3,-4,-3,1,0,-1
1523135242018642,-2,1,0,2,1,-1,-1,-3
1523135242018642,1,-5,-1,2,1,-6,-3,0
1523135242027444,-2,-4,-3,-3,-1,0,-2,0
1523135242027444,3,3,0,4,3,2,2,-4
1523135242033674,0,-3,0,2,-2,-1,-1,2
1523135242033674,0,-1,-1,-2,1,-1,-2,1
1523135242049602,-1,-2,-1,0,-1,1,-1,-1
1523135242049602,0,-5,-1,2,0,-1,0,-4
1523135242056556,-4,-3,-5,-2,-3,-1,-1,-1
1523135242056556,4,2,-3,-3,0,2,1,-1
1523135242071602,-1,0,2,-3,0,0,0,1
1523135242071602,-2,-4,2,0,-2,-1,-4,1
1523135242078615,3,1,2,-3,0,-1,-1,0
1523135242078615,2,0,-2,-1,-1,-1,0,-2
1523135242087599,1,-3,-2,-12,-2,2,0,0
1523135242087599,-3,-2,1,-4,0,-1,2,-3
1523135242093840,-1,-2,-1,-4,2,-3,0,-5
1523135242093840,-4,-1,-1,3,-1,1,-1,-1
1523135242109697,-2,1,0,4,0,-1,0,-1
1523135242109697,0,1,0,-3,-2,0,-3,4
1523135242115983,-1,-1,-2,0,0,-2,0,-1
1523135242115983,-1,0,0,-2,-2,-3,-1,0
1523135242130716,-3,1,-3,3,-2,-2,0,-3
1523135242130716,-3,2,-3,-3,1,0,-3,-4
1523135242139028,-4,-2,-3,-5,-2,-3,1,2
1523135242139028,-1,-4,-2,-3,-2,-3,-5,-4
1523135242146759,-1,0,2,-2,0,0,-2,2
1523135242146759,-3,-2,-6,5,-2,-1,-2,-1
1523135242153775,0,-1,0,-6,-2,2,3,-4
1523135242153775,-2,0,0,-2,-2,-3,1,-2
1523135242169843,0,-1,-1,-1,0,-1,-2,-4
1523135242169843,-1,-4,0,-1,0,-2,-1,-1
1523135242176147,-2,-2,1,3,-2,1,-2,2
1523135242176147,-1,-2,-3,-1,0,-1,1,0
1523135242191190,-1,-4,1,3,2,0,-1,-3
1523135242191190,1,-1,0,-5,-1,-1,-1,-1
1523135242199028,-2,-3,-5,-1,2,0,-4,-1
