timestamp,x,y,z
1523066672433461,0.129395,-0.371582,0.903809
1523066672457560,0.132324,-0.380371,0.89502
1523066672463541,0.135254,-0.375,0.897949
1523066672488609,0.134766,-0.360352,0.899902
1523066672508669,0.135254,-0.37207,0.895996
1523066672532731,0.13623,-0.378906,0.893555
1523066672563809,0.127441,-0.370117,0.896973
1523066672565815,0.132813,-0.365723,0.894531
1523066672615232,0.135254,-0.374023,0.893066
1523066672615954,0.134766,-0.375488,0.885254
1523066672624128,0.132813,-0.369629,0.891113
1523066672637017,0.134277,-0.369141,0.894531
1523066672659326,0.13623,-0.370117,0.890625
1523066672682165,0.138672,-0.381836,0.888184
1523066672711429,0.135742,-0.371094,0.897949
1523066672723232,0.134766,-0.370605,0.900391
1523066672742300,0.135254,-0.370117,0.892578
1523066672756610,0.136719,-0.372559,0.904297
1523066672778674,0.135742,-0.366211,0.896484
1523066672803447,0.142578,-0.37207,0.89502
1523066672824510,0.131348,-0.385254,0.902344
1523066672839775,0.128906,-0.379395,0.900391
1523066672870631,0.132813,-0.369141,0.892578
1523066672885665,0.132813,-0.365234,0.886719
1523066672906730,0.128418,-0.37207,0.887207
1523066672922884,0.135254,-0.385742,0.890137
1523066672945829,0.136719,-0.37207,0.877441
1523066672967882,0.147461,-0.372559,0.891113
1523066672982924,0.145996,-0.370605,0.908203
1523066673005988,0.15918,-0.374023,0.920898
1523066673028044,0.138672,-0.398926,0.910645
1523066673049133,0.0849609,-0.402344,0.887695
1523066673065149,0.105957,-0.418457,0.839355
1523066673088207,0.187988,-0.35498,0.989258
1523066673110571,0.0742188,-0.172852,0.862793
1523066673131322,0.129395,-0.396484,0.894531
1523066673154675,0.115234,-0.375,0.903809
1523066673176764,0.122559,-0.263184,0.885254
1523066673192486,0.163574,-0.443848,0.900391
1523066673215544,0.145996,-0.528809,0.888184
1523066673237605,0.123535,-0.443359,0.880371
1523066673245975,0.118164,-0.354492,0.872559
1523066673258956,0.122559,-0.300293,0.873535
1523066673281746,0.133301,-0.325684,0.893066
1523066673297762,0.135742,-0.350098,0.910156
1523066673319173,0.134766,-0.365234,0.911621
1523066673342126,0.137695,-0.387695,0.905762
1523066673357919,0.135742,-0.381348,0.90625
1523066673379978,0.129395,-0.365723,0.898438
1523066673403042,0.128906,-0.383789,0.902832
1523066673426101,0.134766,-0.387207,0.901855
1523066673446155,0.125,-0.379883,0.89209
1523066673462198,0.127441,-0.380371,0.889648
1523066673485258,0.132324,-0.379395,0.88623
1523066673508321,0.138672,-0.379883,0.879395
1523066673529375,0.141113,-0.379883,0.891113
1523066673545420,0.144043,-0.383789,0.898926
1523066673568480,0.145508,-0.395996,0.894531
