timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523209630949934,-2,0,-55,-39,-1,-1,-4,-5
1523209630949934,2,-3,-5,29,8,4,2,0
1523209630957948,-5,-3,43,-29,-10,-4,-3,-3
1523209630957948,1,10,-3,-21,-2,-1,0,-1
1523209630972988,-5,-15,12,-4,-2,-3,-3,-4
1523209630972988,-2,2,39,8,-2,-4,-1,0
1523209630973990,2,8,-6,-1,2,1,0,1
1523209630973990,0,5,-21,-2,0,1,1,1
1523209630995047,-2,-2,24,-12,-8,-4,-1,-1
1523209630995047,-7,-9,-48,-27,-5,-3,-1,-3
1523209630996048,0,9,-15,29,0,-1,-2,0
1523209630996048,2,-17,21,-2,-5,-2,0,-4
1523209631010088,4,7,13,-32,-1,4,2,1
1523209631010088,4,9,66,47,19,14,4,3
1523209631018108,-8,-12,-63,-29,0,1,-2,-2
1523209631018108,1,-3,-5,-23,-7,-5,-1,0
1523209631033149,-7,-11,-15,22,-2,-5,-4,-4
1523209631033149,-1,8,23,-16,-7,-4,2,3
1523209631034149,-6,6,36,35,-2,1,1,-3
1523209631034149,-4,-24,-45,-30,0,-1,-3,-3
1523209631055217,9,35,20,7,8,2,-2,3
1523209631055217,-6,-23,-28,-5,-3,-2,-1,-4
1523209631056209,4,-4,10,13,-2,-1,-1,0
1523209631056209,-4,0,10,-16,-6,-4,-2,-1
1523209631070252,-4,-7,-32,-16,-12,-9,-4,-6
1523209631070252,0,2,23,0,-14,-1,1,-2
1523209631078267,2,-6,-10,15,16,4,1,-1
1523209631078267,3,12,20,-5,18,16,4,1
1523209631093308,2,-5,-28,-2,-7,-9,0,0
1523209631093308,-3,2,11,10,6,-1,-2,-1
1523209631093308,-1,-3,14,-8,-14,-6,-5,0
1523209631093308,-3,-4,-27,4,-11,-8,-5,-4
1523209631115366,2,-14,14,13,17,8,2,0
1523209631115366,-3,-7,-38,-14,2,5,2,0
1523209631116368,-1,1,0,-10,-6,-3,0,-1
1523209631116368,0,5,-32,3,-2,-1,0,1
1523209631129403,-3,0,2,-5,-10,-5,-3,-3
1523209631129403,2,0,3,5,-6,-8,-2,-1
1523209631138426,2,-8,-24,-20,1,-2,-1,0
1523209631138426,2,-8,9,6,2,-2,2,1
1523209631153470,-7,18,14,8,4,5,1,-1
1523209631153470,-8,-15,-13,-27,-3,-4,-6,-5
1523209631153470,-1,2,-17,-8,-2,-2,-1,-2
1523209631153470,2,9,-14,-5,-11,-6,-1,-2
1523209631175526,3,-2,-17,-9,-7,-5,-3,-1
1523209631175526,-2,3,11,9,3,0,-2,-1
1523209631176527,2,1,-2,6,-1,3,2,1
1523209631176527,-3,-7,-11,4,12,4,1,-1
1523209631190567,-3,-9,7,-1,-1,2,-2,-3
1523209631190567,4,11,16,-9,-4,-4,-2,2
1523209631191569,-4,-16,-65,4,-11,-9,-6,-3
1523209631191569,-3,-2,41,-16,-4,-1,1,-2
1523209631212624,0,0,18,10,7,3,1,1
1523209631212624,1,2,-11,-18,-1,0,0,0
1523209631213627,6,6,72,10,2,1,0,0
1523209631213627,-5,1,27,14,0,-3,-4,-2
1523209631235687,0,-2,1,-4,-7,-4,-4,-2
1523209631235687,-4,-6,11,12,1,1,-2,-1
1523209631236694,2,15,0,0,8,5,2,1
1523209631236694,-6,-20,-42,-13,-6,-4,-1,-4
1523209631249960,0,0,27,-4,-2,6,2,1
1523209631249960,-1,-3,-8,-1,-5,-14,-3,-2
1523209631257744,-3,-3,6,4,0,1,0,-1
1523209631257744,0,8,4,3,8,1,-8,-1
1523209631272785,-2,-1,-18,-6,9,9,11,1
1523209631272785,-1,-3,-11,2,1,6,0,-2
1523209631273788,-2,-1,41,-6,-7,-6,-1,0
1523209631273788,-2,-6,-57,-12,-13,-6,-4,-2
1523209631296064,-2,1,-1,-2,-1,-4,-5,-2
1523209631296064,-2,1,21,-6,-4,-1,-2,-2
1523209631296064,-1,-6,-26,-3,-6,-5,-1,0
1523209631296064,2,0,-27,5,4,0,-1,2
1523209631309921,-4,3,45,0,-2,-4,-1,-3
1523209631309921,-5,-10,-11,3,4,4,2,-1
1523209631318141,-2,0,-18,-2,-6,0,-2,-1
1523209631318141,2,7,19,-13,-1,-1,-1,0
1523209631333181,2,1,-24,2,-2,-5,-5,-4
1523209631333181,3,4,29,13,5,2,1,1
1523209631333946,-6,-14,-57,-23,-8,-1,-1,-4
1523209631333946,-1,0,11,-1,2,7,3,2
1523209631355005,-2,4,25,20,16,2,0,1
1523209631355005,-1,2,9,8,-7,-2,-1,0
1523209631356006,-1,-1,11,-1,-8,-5,-6,-3
1523209631356006,-3,-2,-8,-1,-7,-4,4,-2
1523209631370047,1,-4,7,-6,8,5,-1,3
1523209631370047,0,1,-24,-6,2,2,0,0
1523209631378063,-2,-2,22,-1,2,-2,-4,-1
1523209631378063,-1,0,10,19,-13,-9,-4,-1
1523209631393343,-5,-3,28,-25,-7,-3,-3,0
1523209631393343,-1,-6,-46,7,14,4,2,0
1523209631394105,3,7,20,5,3,5,-1,1
1523209631394105,2,3,10,5,6,2,10,-1
1523209631415162,0,-5,5,1,-7,-4,-2,-2
1523209631415162,2,6,-31,-9,-7,-4,-4,-1
1523209631416166,-3,-4,2,14,8,1,2,-1
1523209631416166,-5,-1,-37,-30,-3,-3,-7,-4
1523209631430202,-4,-9,11,-11,-11,-4,-2,0
1523209631430202,-5,-19,5,-3,-8,-6,-1,-3
1523209631438224,0,5,3,7,9,3,3,1
1523209631438224,1,-1,16,5,-4,-2,-5,-2
1523209631453310,0,3,-3,5,-5,-5,0,-3
1523209631453310,-1,2,-33,-11,-7,-3,-4,-2
1523209631453310,-1,-6,27,4,5,1,1,1
1523209631453310,-2,-4,-15,2,6,7,2,0
1523209631475322,1,1,-17,2,9,4,-1,1
1523209631475322,0,0,29,4,0,-3,-1,-1
1523209631476325,-1,2,-44,-20,-13,-4,-2,-4
1523209631476325,0,0,2,3,-3,-7,1,-1
1523209631489359,-1,-2,-21,1,-3,1,-2,-1
1523209631489359,2,3,19,-2,3,-1,-4,3
1523209631498609,0,0,13,14,-7,-4,-1,-3
1523209631498609,-4,-12,-8,-5,-3,0,-3,-2
1523209631512420,0,-2,-2,3,2,-3,-4,-3
1523209631512420,0,1,-2,-5,-1,0,8,-2
1523209631513424,1,2,2,-3,-2,-3,0,1
1523209631513424,-2,3,12,-1,-6,-7,-7,0
1523209631535483,-1,-3,-57,5,1,1,1,-1
1523209631535483,-5,-17,12,1,1,5,-1,0
1523209631536488,2,10,20,2,8,5,1,1
1523209631536488,3,4,-8,21,8,2,2,-1
1523209631549754,-4,-11,-54,-55,-17,-7,-4,-3
1523209631549754,0,3,27,0,-4,-4,-5,-2
1523209631557542,-2,-6,-51,10,0,-2,2,-2
1523209631557542,-1,0,66,6,-2,3,0,0
1523209631572581,1,3,17,17,9,1,-1,0
1523209631572581,-1,2,-25,-9,-6,-3,-1,-1
1523209631573583,-1,-1,19,-5,-4,-4,-3,-1
1523209631573583,1,3,-3,4,8,4,0,1
1523209631595879,-2,-3,-4,-4,-1,2,2,0
1523209631595879,-2,5,-1,-1,-5,-6,-3,-1
1523209631596644,-3,-3,19,4,-5,-5,-3,-2
1523209631596644,-1,0,-15,-15,-12,-6,-2,-2
1523209631609679,-1,-5,-9,-2,-4,-5,-1,-1
1523209631609679,3,5,17,20,15,6,1,1
1523209631617936,-1,0,-15,2,7,8,1,1
1523209631617936,-1,0,-1,-5,3,0,0,-1
1523209631632741,-2,-9,0,2,-7,-4,-4,-3
1523209631632741,-1,4,-9,-11,-9,-5,-4,-2
1523209631633742,-2,-6,16,4,-3,-1,1,-2
1523209631633742,-3,-3,-21,-19,-2,-3,0,-3
1523209631655803,-1,3,14,1,0,0,0,1
1523209631655803,0,-1,-14,6,0,0,-2,-3
1523209631655803,-1,-2,32,-12,-2,-1,-2,1
1523209631655803,-1,2,6,5,0,0,-1,0
1523209631669889,0,8,21,4,0,-1,1,-2
1523209631669889,-1,1,10,-3,-4,1,0,0
1523209631677861,0,6,-15,-4,-3,-3,-3,-1
1523209631677861,2,-4,-9,2,1,-1,-3,-3
1523209631692940,-2,0,10,1,-1,1,1,0
1523209631692940,1,0,3,4,4,1,2,0
1523209631693903,-1,0,-11,-7,-4,-2,-1,-1
1523209631693903,-2,-2,26,-1,-6,-7,-4,-2
1523209631715198,1,0,-16,14,2,0,1,-1
1523209631715198,1,6,49,-9,0,2,0,3
